setting,qid,level,qtype,question,gold_answer,gold_ids,retrieved_ids,prediction,prompt_tokens,n_paragraphs
baseline,5ae51fa25542992663a4f11f,hard,bridge,Where is the group of islands named after Purdue University's professor of forest ecology from 1947 to 1973?,the northwest tip of Canisteo Peninsula in Amundsen Sea,6 9,5 4 6 1 9,Indiana,875,10
baseline,5a7e355055429934daa2fbf4,hard,bridge,whodesigned the first theoretical mechanism for the detonation of an atomic bomb and was part of the group of scientists who first discovered nuclear fission?,Otto Robert Frisch,2 9,2 5 9 7 4,Otto Robert Frisch,852,10
baseline,5a8d18fb5542994ba4e3dbf2,hard,bridge,What position did the 2004 World Series of Poker gold bracelet holder have in the 2011 Epic Poker League?,Commissioner,3 9,9 3 8 6 1,no,811,10
baseline,5a82a1ae55429954d2e2eb89,hard,comparison,"Between Aspidistra and Cyrtanthus, which genus of plant belongs to the Subfamily Amaryllidoideae?",Cyrtanthus,1 9,1 9 5 2 3,Cyrtanthus,712,10
baseline,5add39c45542995b365faac5,hard,comparison,Did the the Battle of Stones River occur before the Battle of Saipan?,yes,1 9,1 8 9 7 4,no,612,10
baseline,5a803d695542996402f6a494,hard,comparison,What is the main difference between the game Plateau and the game Colt Express?,Colt Express is a railway-themed,3 9,9 3 4 1 2,yes,647,10
baseline,5a7555215542996c70cfaee1,hard,comparison,"Which came to market first, ""Hey Pa! There's a Goat on the Roof"" or ""Poleconomy""",Hey Pa! There's a Goat on the Roof,1 2,1 2 7 8 9,1966,591,10
baseline,5a83c9445542992ef85e2360,hard,bridge,Viscount Yamaji Motoharu was a general in the early Imperial Japanese Army which belonged to which Empire?,Empire of Japan,3 9,9 3 8 5 7,Greater Japanese Empire,553,10
baseline,5ae33a3b5542992f92d8224a,hard,bridge,Viking: The Ultimate Obstacle Course was a game show that aired in Europe with the British presenter who was an Olympic participant in what sport?,bobsledder,6 7,6 4 7 0 9,Colin Bryce,989,10
baseline,5ac37dd6554299218029dbdb,hard,comparison,"Are both bands, Digital Summer and Underoath, from the same US state ?",no,0 9,0 9 7 8 6,no,532,10
baseline,5a8eabf755429917b4a5bdaa,hard,bridge,"What was the job title of the wife of the director of the film ""Aaina?""",Bollywood playback singer,1 9,1 9 0 8 2,Pamela Chopra,572,10
baseline,5ae82c3d55429952e35eaa75,hard,bridge,This high school located in the Bronzeville neighborhood was named after a settler who was arrested by who?,the British military,4 9,3 4 1 5 2,Jean Baptiste Point DuSable,738,10
baseline,5abbf64055429965836003bc,hard,bridge,What county is Keene High School located in?,Cheshire County,5 8,8 6 0 2 3,New Hampshire,851,10
baseline,5aba33985542994dbf0198c3,hard,bridge,Who was undefeated since the Athens games with 28 medals?,Michael Phelps,1 8,1 8 5 3 7,Michael Phelps,974,10
baseline,5a858dc85542997b5ce40002,hard,bridge,Whataburger in Richardson Square is loacted in what city and state?,"Richardson, Texas",2 7,2 7 4 6 3,"San Antonio,Texas",886,10
baseline,5ab587ad5542992aa134a34b,hard,bridge,"What was the real name of the author of the book ""Coraline"" has been compared to?",Charles Lutwidge Dodgson,5 8,5 8 7 4 2,Charles Lutwidge Dodgson,870,10
baseline,5a89ab1355429946c8d6e996,hard,comparison,Is Carnegie Hall Tower located in the same city as Staten Island?,yes,3 4,4 3 0 9 1,no,832,10
baseline,5a8d8f77554299068b959d3e,hard,bridge,Stephen Smith appears on ESPN First Take alongside which HBO boxing commentator?,Max Kellerman,6 7,7 6 0 9 8,no,832,10
baseline,5a73d4385542992d56e7e3b1,hard,bridge,Yves Apollinaire Pede made sand paintings of which South African anti-apartheid revolutionary?,Nelson Mandela,0 8,0 8 7 6 4,Nelson Mandela,673,10
baseline,5a8790785542993e715abfac,hard,bridge,What was the first name of the wife of the namesake of the high school located at 123 Coles Street in Jersey City?,Cheryl,3 4,9 3 1 8 5,yes,710,10
baseline,5a79e3555542994bb945712f,hard,comparison,"Who was born first, Sarah Jacobson or Arthur Hiller?",Arthur Hiller,8 9,9 8 0 7 1,Arthur Hiller,547,10
baseline,5a8d09a955429941ae14df71,hard,bridge,This British television series was adapted from one of the better-known novels of a 19th-century writer and was first published in what magazine?,Household Words,4 7,4 7 6 5 8,Household Words,825,10
baseline,5ab97c0255429970cfb8eb1f,hard,bridge,What football team did Mario Gomez and Javi Martinez both play for?,Bayern Munich,7 8,8 7 5 1 3,FC Bayern Munich,1019,10
baseline,5a89761d5542995153361310,hard,bridge,Christmas in the Sun was performed mainly by the entertainer of what nationality?,Australian,3 7,3 7 4 9 0,Australian,599,10
baseline,5ab28156554299449642c8ce,hard,bridge,What league did was the team that played home games at Holman Stadium belong to?,Canadian-American Association of Professional Baseball,8 9,3 8 2 0 6,Arizona League,738,10
baseline,5a7bacf35542997c3ec9724b,hard,comparison,"Who was born first, Jorge Amado or James Leo Herlihy?",Jorge Leal Amado de Faria,0 7,7 0 9 6 8,no,580,10
baseline,5a8016215542992bc0c4a6a3,hard,bridge,Which producer from the 2015 British documentary film about the life and death of British singer-songwriter Amy Winehouse also worked on the film Oasis: Supersonic as a film producer?,James Gay-Rees,2 7,2 7 5 1 6,James Gay-Rees,699,10
baseline,5a7a99db55429941d65f26ea,hard,bridge,"What is the first name of the author who wrote the play in which Rønnaug Alten made her stage debut at Den Nationale Scene in 1930 as ""Viola""?",William,2 9,9 3 8 4 0,no,788,10
baseline,5ab2beba554299166977408f,hard,bridge,Who is the father of the Prince in which William Joseph Weaver is most famous for painting a full length portrait of?,George III,7 8,7 8 2 0 4,Edward Augustus,746,10
baseline,5a79186f55429907847277af,hard,bridge,Where is stadium that was named after Rodney Cline Carew?,Panama City,5 7,5 7 6 0 4,Carew Tower,800,10
baseline,5a7a7e9f5542994f819ef1f4,hard,bridge,What was the budget of the prequel to Beyond Skyline?,$10–20 million,1 4,1 4 6 0 3,no,946,10
baseline,5ae53fcb55429960a22e029e,hard,bridge,Who created the show with Wendy Schaal doing the voice of Francine?,Seth MacFarlane,3 5,1 3 6 4 5,Seth MacFarlane,642,10
baseline,5a81ff1a554299676cceb1c2,hard,bridge,Oscar is what type of animal with black fur that may be a mixed or specific breed?,black cat,4 5,5 4 0 3 2,Black cat,676,10
baseline,5a7c5de155429935c91b5179,hard,bridge,Which American pro basketball player who won gold at the 2008 Summer Olympics was signed by the Utah Jazz during the 2005-05 offseason?,Carlos Austin Boozer Jr.,2 4,7 2 4 6 8,Carlos Boozer,724,10
baseline,5ae0d85d5542990adbacf67e,hard,bridge,Which district includes the island in New York City's East River which Pete Grannis represented in the New York State Assembly?,represented District 65,1 4,1 4 8 9 7,District 65,838,10
baseline,5ac19b2c55429963665198b6,hard,comparison,"Which park is further south within Spain, Picos de Europa National Park or Timanfaya National Park?",Timanfaya National Park,1 8,8 1 9 5 4,no,688,10
baseline,5a8038b55542996402f6a485,hard,bridge,"Jacques Sernas, actor in Fugitive in Trieste, was of what nationality?",Lithuanian-born French,3 8,8 3 9 6 4,Lithuanian,485,10
baseline,5abbc58455429931dba14502,hard,bridge,Stephen susco wrote a movie produced by which american film actor?,Sam Raimi,1 4,7 4 5 0 1,Sam Raimi,620,10
baseline,5ae4075b55429970de88d87a,hard,bridge,Who was responsible for the Soviet–Albanian split?,Nikita Khrushchev,3 7,3 5 6 9 7,Nikita Khrushchev,1053,10
baseline,5a8622ae554299211dda2a7e,hard,bridge,When was the son of Kingsley Amis born ?,1949,2 6,6 2 0 8 5,25 August 1949,772,10
baseline,5ae17daa55429901ffe4aea9,hard,bridge,Who directed the 1941 film based on the novel of the same name by Zane Grey starring an actor who was also an artist and stuntman?,James Tinling,6 7,5 1 2 0 8,James Tinling,660,10
baseline,5ac4f04e5542995c82c4ad81,hard,bridge,In which of the largest surviving medieval old towns in Europe is the Vilnius Cathedral located?,Vilnius Old Town,5 7,7 5 4 2 3,Vilnius Old Town,807,10
baseline,5a83aaeb5542996488c2e483,hard,bridge,What studio album did Kanye West record with Roc-A-Fella Records and soul singer Dwele?,My Beautiful Dark Twisted Fantasy,3 9,5 2 3 1 0,Graduation,1015,10
baseline,5ab6f9335542991d322236fc,hard,comparison,Are Ana Kasparian and Katherine Sarafian both Armenian-,yes,4 8,4 8 3 1 6,no,757,10
baseline,5a8333115542993344745feb,hard,bridge,What summit is located in the county who's county seat is Helena?,Scapegoat Mountain,4 9,9 1 8 4 7,Scapegoat Mountain,626,10
baseline,5ac322c95542995ef918c117,hard,comparison,"Which magazine had more previous names, Watercolor Artist or The General?",The General,0 5,5 0 1 2 7,The General,781,10
baseline,5ae28b76554299495565daa8,hard,bridge,What three categories does income get levied under the Parliament of Australia's tax code?,"""personal earnings"" (such as salary and wages), ""business income"" and ""capital gains""",2 8,2 8 4 9 3,personal earnings business income capital gains,870,10
baseline,5a7412b655429979e28828a1,hard,bridge,Who was the husband of the prominent Walton family member who died after John died in 2005?,Sam Walton,0 1,0 1 6 3 8,Sam,805,10
baseline,5abefbc15542990832d3a117,hard,bridge,"Michael Lent is best known as the co-writer of the memoirs of Hugh Rowland, a star on a reality television series that premiered on what date?","June 17, 2007",4 6,4 1 9 3 7,"May 7, 2009",741,10
baseline,5ae4cda05542990ba0bbb148,hard,comparison,Why is Serena Williams more accomplished than Mariaan de Swardt in her tennis career?,the world No. 1 for the first time,8 9,8 9 7 0 2,no,1048,10
baseline,5ae73d505542991e8301cc2c,hard,bridge,Sebastian Gutierrez is known for writing the screenplay for the 2003 film directed by whom?,Mathieu Kassovitz,1 2,2 1 8 0 7,Mathieu Kassovitz,628,10
baseline,5ac1b3a75542994ab5c67dd2,hard,bridge,"In what year was the company founded whose Manhattan branch was the site for the recording of the live album, Park Avenue South, by Dave Brubeck and his quartet?",1971,4 9,9 7 5 8 1,2003,773,10
baseline,5abeafbb5542997ec76fd347,hard,comparison,"Between the documentaries The Staten Island Catapult and Frida, en trotjänarinna which came first?","Frida, en trotjänarinna",6 8,6 8 3 1 4,"Frida, en trotjänarinna",587,10
baseline,5a843de75542992ef85e23b4,hard,bridge,Which pirate-themed Las Vegas resort is one of many developed by Steve Wynn?,Treasure Island,1 6,1 7 0 4 6,Encore Las Vegas,895,10
baseline,5a8b3c0055429949d91db4f8,hard,comparison,IS Paul Sloane noted for directing more musicals than Jacques Demy,no,5 8,8 5 3 0 9,no,779,10
baseline,5a74a8fa55429929fddd8497,hard,bridge,"After his curacy at the village that is a suburb of Scunthorpe, who was Industrial Chaplain to the Bishop of Lincoln?",Dudman,3 5,8 5 1 3 9,Bill Dudman,945,10
baseline,5ab801da5542990e739ec7c9,hard,bridge,"Singer Eddie Fisher, who produced the album ""I'm in the Mood for Love"" in 1952, later had a scandalous affair with what actress?",Elizabeth Taylor,1 5,1 5 9 3 0,yes,584,10
baseline,5ab661ac5542995eadeeffb1,hard,bridge,"Which state was the The Laboratory's 60,000 square-foot, shore-based campus located?","Maine, United States",3 5,3 0 1 7 8,Maine,876,10
baseline,5a886b7555429938390d3f4d,hard,bridge,When did the party inspired by Cacareco begin in Canada?,1960s,6 7,6 7 1 2 0,1958,1115,10
baseline,5ae3c0cc5542992f92d82369,hard,bridge,"Peter Marc Jacobson is best known as the co-creator of the popular sitcom ""The Nanny"", which he created and wrote with his then wife an actress born in which year ?",1957,3 5,5 4 2 1 3,1957,727,10
baseline,5a84c4135542994c784dda31,hard,comparison,Are Yingkou and Fuding the same level of city?,no,1 2,1 2 0 8 5,no,359,10
baseline,5a7dedef5542995f4f40231a,hard,bridge,"Which English actor, comedian and singer is featured in Chalk and Cheese?",Michael Patrick Smith,2 5,5 7 2 1 4,Michael Crawford,467,10
baseline,5ac38bf355429939154137ba,hard,bridge,"William McGrath was a loyalist from Northern Ireland, and was known for opposing what?",united Ireland,7 8,7 8 1 9 4,yes,712,10
baseline,5a7244955542990c210a408a,hard,bridge,What was the name changed to after Allison J71 was modified to a thrust of 7400 lbf?,J35,1 3,3 5 1 7 4,no,882,10
baseline,5ae3f1fb5542995ad6573cc1,hard,bridge,How many Sliver Slugger awards does the player who uses The Boss during his at-bat and also plays for the Yankees?,six-time,2 5,8 6 0 5 9,no,1106,10
baseline,5ade895955429975fa854ef5,hard,bridge,In what year did the conference in which the 2005 Air Force Falcons participated begin operations?,1999,7 8,8 2 5 0 9,no,717,10
baseline,5a71419f5542994082a3e70d,hard,bridge,"Riema Juhani Karppinen won the silver medal at what event held outside of Munich, Germany?",1981 World Rowing Championships,2 9,2 7 9 6 5,double sculls,1145,10
baseline,5a881d2355429938390d3eeb,hard,bridge,If You Ever Get Lonely was covered by what Lyric Street Records-affiliated band?,Love and Theft,1 7,7 6 0 1 9,Love and Theft,785,10
baseline,5ae4d3a55542990ba0bbb164,hard,bridge,What creature of American folklore gained notoriety in 1964?,Dewey Lake Monster,0 3,0 1 8 9 2,no,829,10
baseline,5abd0ee65542996e802b46d7,hard,comparison,Are Jonathan Demme and Chris Renaud both American filmmakers?,yes,0 6,6 0 1 4 8,no,659,10
baseline,5ab41b8c5542996a3a969f40,hard,bridge,What two ideals are the foundation of Neo-libertarianism?,democracy and personal freedom,2 4,2 0 4 5 1,yes,780,10
baseline,5abd0d635542992ac4f381b8,hard,bridge,How many days did it take the Best New Artist of 2009 to sell 2 million copies of an album in the UK and break a twenty year old record?,29,5 9,9 5 0 2 1,no,1539,10
baseline,5a8e494e5542995a26add4c8,hard,bridge,"Thomas Maclellan of Bombie was Provost of what town, as well as constructing MacLellan's Castle in the center of that town?","Kirkcudbright, southwest Scotland",0 3,0 3 7 2 5,Kirkcudbright,728,10
baseline,5adf8ade5542993344016ce8,hard,bridge,"Dutch-born American businessman, Harry Koch, fathered a son born in 1900 that founded which oil refinery firm?",Koch Industries,6 8,6 8 0 9 7,Fred C. Koch,763,10
baseline,5a79ced45542994bb94570cb,hard,bridge,What kind of ideology is Torment's drummer involved with?,neo-Nazi,0 7,0 8 9 7 3,National Socialist black metal,837,10
baseline,5ab5d9af554299494045f07e,hard,bridge,The son of former Giants co-owner Bob Tisch worked with who to produce The Testimony?,Mitchell Block and Michael Sarnoski,7 8,8 0 1 6 4,no,562,10
baseline,5a7211e655429971e9dc923c,hard,bridge,"What Finnish Christmas figure, which eventually become more or less conflated with Santa Claus, has modern representations typically made of straw.?",The Yule goat,0 4,9 4 8 0 1,Joulupukki,751,10
baseline,5a908aaa55429933b8a20545,hard,comparison,Were Ilya Ehrenburg and Harold Robbins both translators?,no,4 7,4 7 8 2 1,no,596,10
baseline,5ab465095542991751b4d75a,hard,bridge,During which period the sedan variant of the Volvo V50 car was manufactured?,1995 to 2012,1 5,1 6 5 0 3,no,451,10
baseline,5ae0038655429925eb1afbe0,hard,comparison,"Which is a Macedonian weekly, Hänt Extra or Tea Moderna?",Tea Moderna,1 9,1 9 7 2 5,Tea Moderna,470,10
baseline,5a8f6e295542992414482ac6,hard,bridge,The manufacturer that owns the company that currently produced and marketed Skittles is headquartered in what US state?,Virginia,3 8,3 0 8 2 6,Virginia,830,10
baseline,5ade17d255429939a52fe80e,hard,comparison,Are both the Wire Fox Terrier and West Siberian Laika dog breeds?,yes,3 8,3 8 6 4 5,yes,993,10
baseline,5ae56a0d5542990ba0bbb29c,hard,bridge,"When is the 2010 population of a town in Waldo County which was covered by ""Maine School Administrative District 3""?","2,099",2 5,5 8 9 2 3,Unity,631,10
baseline,5a7e7c725542991319bc94be,hard,bridge,In what year did Farda Amiga win a race at the Saratoga Race course?,"(foaled February 1, 1999)",1 8,1 0 7 4 2,2001,741,10
baseline,5ab5dc44554299494045f089,hard,bridge,What created the terrirtories of Kansas and Nebraska and was combated by the The Republican Party?,Kansas–Nebraska Act,0 1,1 0 6 5 8,Kansas–Nebraska Act,543,10
baseline,5abbd34d5542993f40c73bc6,hard,bridge,The Innviertel is a traditional Austrian region southeast of a river that is how many km long?,517 km,6 8,8 2 5 6 4,517,586,10
baseline,5ae76d185542997ec2727641,hard,bridge,What is the occupation of the Miami Dolphins owner's wife?,jewelry designer,0 5,5 9 6 8 3,no,1046,10
baseline,5aba725455429901930fa7cc,hard,bridge,The community that contains Downtown Summerlin occupies how many acres?,"22,500 acres",0 2,1 2 0 3 9,22500,607,10
baseline,5adfeab455429942ec259b86,hard,bridge,The star in a 1953 epic Metro-Goldwyn-Mayer film adaption of the play by Shakespeare had what occupation?,"American actor, film director and political activist",2 5,2 5 7 0 8,actor,879,10
baseline,5adfa73b55429942ec259ad8,hard,bridge,"In which county is the university, at which Roger Groot was the Class of 1975 Alumni Professor of Law, located?",Rockbridge County,1 3,3 1 8 7 4,Lexington,812,10
baseline,5a7769a35542993569682d8f,hard,comparison,"Which documentary was release first, Baghdad ER or The Ten-Year Lunch?",The Ten-Year Lunch,8 9,8 9 2 5 1,The Ten-Year Lunch,620,10
baseline,5a7797175542992a6e59df10,hard,bridge,Where were the presenters of the 2016 Brit Awards from?,"Newcastle upon Tyne, England",3 4,3 9 0 6 4,London,627,10
baseline,5ae54c085542992663a4f1c4,hard,bridge,What are some other areas that share a common deer species with the forests of Mara and Mondrem?,"New Zealand, Canada, the United States, the Falkland Islands, and Peru.",1 2,2 4 8 1 6,no,945,10
baseline,5addfe1c5542995b365fabaf,hard,comparison,Are Wolfgang Becker and Jacques Audiard both German film directors?,no,4 5,5 4 9 6 1,no,466,10
baseline,5a73235c5542994cef4bc475,hard,comparison,Was either Craig Melville or Grover Jones born in Indiana?,"Jones was born in Rosedale, Indiana",1 5,5 1 0 3 7,no,580,10
baseline,5ab299d6554299449642c926,hard,comparison,Which will be higher Time Warner Center or One Manhattan Square ?,One Manhattan Square,5 9,9 5 3 6 0,One Manhattan Square,870,10
baseline,5ab9d7e4554299232ef4a21f,hard,bridge,What was need in order to diverge from the chinese ritual uniting spouses by pre-arrangement between families?,constant support from propaganda campaigns,3 8,3 0 8 4 2,yes,802,10
baseline,5a8b8b3155429949d91db5d7,hard,bridge,What type of activity does Owner earnings and Warren Buffett have in common?,business,3 9,9 3 6 8 0,yes,514,10
baseline,5a8f7e785542992414482ae6,hard,comparison,Are both Pomeranian and Sporting Lucas Terrier named after a particular person?,no,3 5,3 7 5 2 6,no,701,10
baseline,5ab965bb554299743d22eb56,hard,bridge,National Stadium BTS Station is near the shopping center in what Thai city?,Bangkok,3 5,5 3 1 2 0,Bangkok,678,10
baseline,5a7f3c8f55429930675136c9,hard,bridge,Buck Rogers XXVC is a published campaign setting or a homebrew campaign setting?,published campaign settings,2 3,2 3 8 7 4,yes,719,10
baseline,5a7a1cd85542990783324e65,hard,bridge,What was the 58th quadrennial American presidential election held after the 2016 Michigan Democratic primary?,United States presidential election of 2016,1 4,1 4 2 3 5,yes,742,10
baseline,5ae13f3c5542997b2ef7d168,hard,bridge,Arthur Noss was a gunner for the commader during which two European theatre battles in WWII?,Battle of Britain and the Battle of Malta,0 9,0 2 6 3 4,Paris,673,10
baseline,5a7b2ec755429927d897bf53,hard,bridge,Kentucky Truck Assembly and Louisville Assembly Plant are two auto factories in the city of Louisville operated by which car maker?,Ford Motor Company,2 7,2 7 3 9 0,Ford,784,10
baseline,5a7d598d5542995f4f402262,hard,comparison,"Which director was also a film editor, Burton L. King or Maheen Zia?",Maheen Zia,4 9,4 9 0 8 1,Maheen Zia,402,10
baseline,5a735e9155429901807db00d,hard,comparison,What country is home to both Guadarrama National Park and Doñana National Park?,Spain,4 6,6 4 8 0 1,Spain,889,10
baseline,5ac24d725542996366519966,hard,bridge,"Who was Germany's large-scale, low strength fortification unit, disbanded in 1919, named after?",Menges,4 7,4 7 0 5 9,Menges Division,964,10
baseline,5a8c90db554299653c1aa0bf,hard,comparison,Is the building located at 200 West Street taller than the one at 888 7th Avenue?,yes,1 9,1 9 7 5 2,no,818,10
baseline,5a7ce100554299683c1c63b5,hard,comparison,"Who is younger, Terry Glaze or Hayley Williams?",Hayley Williams,2 7,7 2 0 5 1,Hayley Williams,603,10
baseline,5ab9debb55429955dce3ed97,hard,bridge,"The English actor Kris Marshall played which character in the highly rated comedy-drama television series ""Death in Paradise""?",DI Humphrey Goodman,4 7,4 8 7 3 5,Humphrey Goodman,657,10
baseline,5a71380c5542994082a3e68b,hard,bridge,What iron-hulled steamship designed by Theodore Timby was The Orleans County Monitor Newspaper named after?,"USS ""Monitor""",0 4,0 4 7 1 3,USS Monitor,600,10
baseline,5abdd30c5542991f66106052,hard,bridge,The 2015 MTV Video Music Awards pre-show premiered the music video for a love ballad with a prominent what?,dream pop influence,2 8,2 8 5 3 9,dream pop influence,1132,10
baseline,5a7222b155429971e9dc92c4,hard,comparison,"Which film, The Happiest Millionaire or Mars Needs Moms, was created first?",The Happiest Millionaire,0 8,0 8 5 4 2,Mars Needs Moms,788,10
baseline,5ab926bc554299131ca42285,hard,bridge,"Alexis Argüello mentored Román González, who became first boxer to do what?",win world titles in four weight classes,3 6,6 3 0 7 8,yes,664,10
baseline,5ab7867c5542992aa3b8c822,hard,bridge,Who animated the TV anime adaptation of Dies irae?,studio A.C.G.T,6 9,9 6 7 8 1,A.C.G.T,521,10
baseline,5ae236b2554299495565da3e,hard,bridge,When was the American economist to which Joseph A. Loftus worked as a communications assistant born?,"December 13, 1920",2 5,5 1 4 8 0,no,927,10
baseline,5abe6f8455429965af743f03,hard,bridge,What country of origin does Robert brothers and Jacques Charles have in common?,French,2 7,2 7 0 9 6,France,562,10
baseline,5a8ac4085542992d82986f74,hard,bridge,Who was the film which was Kim Dae-woo's directing debut about ?,a scholar,4 7,7 6 4 0 3,Forbidden Quest,646,10
baseline,5adde5155542997dc7907092,hard,bridge,How old was Virginia Bruce when she starred in Let Freedom Ring?,29,4 7,7 4 8 2 1,yes,369,10
baseline,5abb17e75542996cc5e49fa2,hard,bridge,What city is the the Iranian Airlines involved in the 1993 Tehran mid-air collision based out of?,"Tehran, Iran",2 8,2 8 9 5 3,Tehran,789,10
baseline,5adc6f6255429947ff173961,hard,comparison,"Which plant genus is part of a family with a longer name, Morning glory or Rothmannia?",Morning glory,2 7,2 7 8 3 6,Rothmannia,501,10
baseline,5ab969ca55429970cfb8eac9,hard,bridge,Where is Anticimex's parent company headquartered?,"EQT Plaza in Pittsburgh, Pennsylvania",3 7,3 0 7 1 8,"Pittsburgh, Pennsylvania",659,10
baseline,5ac292175542996366519a14,hard,bridge,"""52nd Street"" is a 1978 album that earned two Grammy Awards for which piano-playing songwriter?",Billy Joel,1 3,1 3 6 5 4,Billy Joel,679,10
baseline,5ab9b29c554299743d22ebae,hard,comparison,"Which case came first, Craig v. Boren or United States v. Paramount Pictures, Inc.?",Craig v. Boren,2 6,2 6 0 7 1,"United States v. Paramount Pictures, Inc.",834,10
baseline,5a89d48c554299515336132e,hard,bridge,"What Electoral Division in Victoria contained a suburb of Melbourne with a population of 25,147 at the 2016 Census?",The Division of Fawkner,8 9,3 1 9 6 2,"South Yarra, Victoria",801,10
baseline,5a737dc455429908901be2c9,hard,bridge,What is the name of the multi-use sports and recreation facility that currently houses professional football club Dynamo Kyiv?,Olimpiyskiy National Sports Complex,4 6,4 5 6 7 1,Olimpiyskiy National Sports Complex,648,10
baseline,5a845b2d5542996488c2e520,hard,bridge,Back Up n da Chevy was an album by the rap group from what city?,"Atlanta, Georgia",5 8,8 6 5 1 4,Atlanta,620,10
baseline,5a8463545542990548d0b2a3,hard,bridge,What was the position of Jean Baptiste Androuet du Cerceau under the man who was King of the Polish-Lithuanian Commonwealth from 1573 to 1575?,supervisor of the royal works,5 8,8 0 2 5 7,no,645,10
baseline,5a7780e855429949eeb29e9f,hard,bridge,"What actor portrayed that characters ""Kick-Ass"" and ""Count Vronsky""?",Aaron Taylor-Johnson,7 9,7 0 5 6 8,Aaron Taylor-Johnson,693,10
baseline,5a763986554299109176e6bd,hard,bridge,who was born first Pierre Womé or Christian Poulsen ?,Pierre Nlend Womé,2 3,6 2 3 1 8,Christian Poulsen,566,10
baseline,5ab93262554299131ca422b6,hard,bridge,Om and SIx Organs of Admittance are both what?,heavy metal band,5 6,5 9 1 6 2,band,454,10
baseline,5ae4957155429970de88d9bc,hard,comparison,Who has the highest scope of profession in Peter Yates or Jang Joon-hwan,Peter James Yates,1 9,1 9 8 2 0,Peter Yates,420,10
baseline,5a843b045542996488c2e518,hard,bridge,"Which castles, besides Bamburgh Castle, are located on the northeast coast of England?",Lindisfarne Castle,0 7,0 5 6 9 7,Chillingham Castle,628,10
baseline,5add3b035542997545bbbcce,hard,bridge,The Gate is a song from the album scheduled for release in what month?,November 2017,3 9,9 3 1 6 2,November 2017,757,10
baseline,5ae3281a5542991a06ce9939,hard,comparison,Are both Frank Lloyd and Olivier Assayas American film directors?,no,3 9,9 3 0 2 8,no,581,10
baseline,5ac3b07055429939154138b8,hard,bridge,"What is the largest non-capital city in Queensland, Australia that includes a suburb named after Helena White?",Gold Coast in Queensland,3 6,6 0 3 7 5,Helensvale,737,10
baseline,5adce88b5542992c1e3a249a,hard,bridge,"How long did the state exist whose army ransacked and looted the city, Halebidu, twice in the 14th century ?",320 years,0 8,8 6 3 2 7,yes,909,10
baseline,5ab41d855542996a3a969f4b,hard,bridge,"Is the Pakistan fast bowler who joined the Kent County Cricket Club in June, 2011 a left-hand or right-hand batsmans?",right-hand,7 9,5 7 9 6 8,left-hand,902,10
baseline,5abdb5b455429965af743dfa,hard,bridge,"Who was the another star in the television series Ma Boy who worked with the South Korean actress who began her career as a child actress in 2006 and initially gained public attention for ""Moon Embracing the Sun"" (2012)?",Sun Woong,0 3,0 9 6 1 3,Sun Woong,752,10
baseline,5a8febb555429916514e73e4,hard,bridge,Which animal races annually for a national title as part of a post-season NCAA Division I Football Bowl Subdivision college football game?\,Dachshunds,1 3,6 2 3 8 7,yes,933,10
baseline,5a7a8d15554299042af8f669,hard,bridge,Toby Kebbell starred in a fantasy action film based on a video game series in 2016 notably set in teh world of what?,Azeroth,0 7,0 7 2 9 4,Azeroth,890,10
baseline,5ae2eda355429928c4239570,hard,bridge,Who wrote the tragic play which also has a 1968 film with a soundtrack by Nino Rota?,William Shakespeare,1 5,1 5 6 3 0,William Shakespeare,647,10
baseline,5a7a8a9c554299042af8f666,hard,bridge,The lamp used in many lighthouses is similiar to this type of lamp patented in 1780 by Aimé Argand?,Argand lamp,0 7,7 0 5 3 1,Argand lamp,723,10
baseline,5a88ac3d554299206df2b328,hard,bridge,What country of origin does Eric Lucassen and Party for Freedom have in common?,Dutch,1 5,5 1 3 7 6,Netherlands,646,10
baseline,5adda7275542995b365fab57,hard,bridge,"Who was the last monarch of England to be overthrown before The English General Election, 1690?",King James II of England,2 8,2 8 1 9 3,James II,626,10
baseline,5a865bbf5542991e77181615,hard,bridge,what movie starring Melissa McCarthy features a character named Slimer?,Ghostbusters: Answer the Call,8 9,8 9 6 7 4,Ghostbusters: Answer the Call,594,10
baseline,5a8e1577554299068b959e54,hard,comparison,What professionn does Stanley Kwan and Ken Hughes have in common?,director,2 4,2 4 1 3 7,yes,420,10
baseline,5ab3f6b9554299753aec5a03,hard,bridge,How many films were directed by the director of Wise Blood?,37,0 1,0 7 8 1 2,4,889,10
baseline,5adf8dd25542993344016cfe,hard,bridge,"High School Confidential, an eight part documentary followed twelve high school teenagers from a high school in Overland Park, Kansas that ranked what in the 2009 Newsweek ranking of the top 1,500 high schools in the United States?",#364,3 5,5 7 3 0 2,Blue Valley Northwest,930,10
baseline,5ae7ef625542994a481bbe40,hard,bridge,"What is the name of this suburb within the Central Coast Council local government area, where Tessa, of Microwave Jenny, grew up?","Umina Beach, New South Wales",7 8,8 0 2 5 7,Umina Beach,617,10
baseline,5a7a9ed55542995eb53be87d,hard,bridge,"What king took away John Erskine, Earl of Mar's office?",George I,0 4,1 4 6 9 2,Charles,826,10
baseline,5a8e68b15542995085b3742d,hard,bridge,"When was the earliest known pottery created in the country which was the native land of Admiral Yi Sun-sin, who conducted the Battle of Happo?",around 8000 BC,0 3,3 2 9 1 8,no,744,10
